Time,electric current
2025-05-02 17:08:37,15.239709722009712
2025-05-02 17:08:38,15.36847291056765
2025-05-02 17:08:39,15.090272828735273
2025-05-02 17:08:40,15.088763583688477
2025-05-02 17:08:41,15.200615328290896
2025-05-02 17:08:42,15.070986867017195
2025-05-02 17:08:43,15.11878376808163
2025-05-02 17:08:44,15.138324471477922
2025-05-02 17:08:45,15.13909700688064
2025-05-02 17:08:46,15.107665802212917
2025-05-02 17:08:47,15.18561837029227
2025-05-02 17:08:48,15.402186917322068
2025-05-02 17:08:49,15.228457593028624
2025-05-02 17:08:50,15.413565577090209
2025-05-02 17:08:51,15.454723147225732
2025-05-02 17:08:52,15.534855991090339
2025-05-02 17:08:53,15.330246978165752
2025-05-02 17:08:54,15.354574067292686
2025-05-02 17:08:55,15.621817652985236
2025-05-02 17:08:56,15.427433188894016
2025-05-02 17:08:57,15.071406227898967
2025-05-02 17:08:58,14.75756759472466
2025-05-02 17:08:59,14.805465050015666
2025-05-02 17:09:00,15.234802426201176
2025-05-02 17:09:01,15.437087232441085
2025-05-02 17:09:02,15.738189567539767
2025-05-02 17:09:03,15.756038224680434
2025-05-02 17:09:04,16.007702928313606
2025-05-02 17:09:05,15.95887337079757
2025-05-02 17:09:06,16.069261245886455
2025-05-02 17:09:07,16.021139303536756
2025-05-02 17:09:08,15.92225371806386
2025-05-02 17:09:09,15.946143618259113
2025-05-02 17:09:10,15.86042941968364
2025-05-02 17:09:11,16.095978306292412
2025-05-02 17:09:12,16.131084233551512
2025-05-02 17:09:13,16.20312929013024
2025-05-02 17:09:14,16.14234934574565
2025-05-02 17:09:15,16.368537142125092
2025-05-02 17:09:16,16.236769355879016
2025-05-02 17:09:17,16.355623009859208
2025-05-02 17:09:18,16.292459705562237
2025-05-02 17:09:19,16.123344662103197
2025-05-02 17:09:20,16.035255087851237
2025-05-02 17:09:21,15.89041408920272
2025-05-02 17:09:22,15.852124656492714
2025-05-02 17:09:23,15.791073261142838
2025-05-02 17:09:24,15.847269511571456
2025-05-02 17:09:25,15.949007242403294
